MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
1013.368,1402.576,123.9444,945.4327,1895.227,91.98347,5.866688,198.7502,101.66
1015.215,1364.933,115.3825,654.0305,1309.652,64.18594,3.633302,290.4299,112.863
894.6782,1379.621,99.11348,1191.165,1583.324,83.83226,1.09984,223.3981,123.125
1016.24,1296.705,89.10476,1290.651,1831.129,85.47725,1.233352,218.6262,131.726
1059.564,1334.625,94.51639,809.9191,1562.51,95.01785,1.266654,195.1062,141.895
917.0969,1329.528,93.5401,1223.14,1814.058,97.97314,1.999944,192,20.731
812.5648,1352.851,85.78388,1408.062,1503.611,83.77546,1.066624,223.6826,28.829
1228.163,1191.616,100.2158,734.9844,1511.789,63.47791,1.566684,284.0613,38.063
