MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
1090.99,1217.039,78.64906,1368.374,1472.089,38.29852,1.2654,482.4922,16.161
1133.991,1302.903,79.54134,425.8914,1272.355,41.13608,1.066611,454.199,25.921
1285.973,1330.927,91.2094,1416.733,1680.055,77.73359,0.9999867,241.7206,36.456
1247.972,1342.941,90.65659,929.9878,796.6905,44.71404,1.000052,417.9267,24.379
1091.986,1312.857,90.45228,1010.913,1634.911,98.73289,1.199984,188.9114,35.58
1198.024,1162.054,97.24536,915.0573,1657.124,79.02882,0.9667029,237.835,43.079
1108.986,1257.056,86.79126,1482.058,1192.881,57.78202,1.333361,314.9332,21.012
1214.013,1309.005,89.46601,605.3397,1206.82,46.88239,1.000011,399.4847,29.077
