MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
361.0107,523.0319,70.1626,388.5104,742.9834,76.45696,11.76866,116.7762,32.505
361.0087,554.0192,76.14269,882.4269,458.2726,44.75112,4.29033,203.9767,43.772
612.9876,574.0336,77.97281,770.4755,808.95,49.14113,1.050879,190.6801,12.727
480.9996,474.0396,66.299,676.1829,811.1118,92.67612,1.118228,100.9421,23.86
411.0052,613.0192,78.34231,608.1428,813.0184,98.06604,0.9684933,95.82166,34.831
695.9856,669.0092,89.12708,573.0383,649.6159,67.29543,0.901234,139.4474,15.69
662.9878,586.0187,98.65424,401.5823,774.5074,43.70583,1.018603,214.4347,26.711
659.9858,671.0119,94.96747,815.0344,777.2001,39.27177,1.068434,238.2183,35.408
